City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
248,North Platte,US,41.1239,-100.7654,32.99,44,1,1.99,clear sky
249,Dibombari,CM,4.1787,9.6561,78.24,79,100,3.13,overcast clouds
250,Chino Valley,US,34.7575,-112.4538,41.41,72,90,8.99,overcast clouds
251,Vizinga,RU,61.0749,50.1031,12.33,93,100,8.86,overcast clouds
252,Khandbari,NP,27.3747,87.2039,48.79,90,98,4.18,overcast clouds
253,Grindavik,IS,63.8424,-22.4338,30.9,64,75,24.16,broken clouds
254,Faya,SA,18.3851,42.4509,53.71,62,90,5.88,overcast clouds
255,Srednekolymsk,RU,67.45,153.6833,-30.87,98,100,3.94,overcast clouds
256,Port-Gentil,GA,-0.7193,8.7815,75.16,94,90,1.14,overcast clouds
257,Chimbote,PE,-9.0853,-78.5783,72.93,76,70,8.9,broken clouds
258,Awbari,LY,26.5921,12.7805,58.03,36,7,7.11,clear sky
259,Harper,LR,4.375,-7.7169,80.2,80,81,7.96,broken clouds
260,Cabo San Lucas,MX,22.8909,-109.9124,81.61,61,72,8.48,broken clouds
261,Saint-Philippe,RE,-21.3585,55.7679,76.59,83,72,14.18,light rain
262,Balakhta,RU,55.38,91.6,12.18,94,100,2.64,overcast clouds
263,Verkhniy Landekh,RU,56.8389,42.5994,2.68,92,61,5.73,broken clouds
264,Victor Harbor,AU,-35.5667,138.6167,77.09,87,0,5.53,clear sky
265,Namibe,AO,-15.1961,12.1522,73.87,61,55,5.82,broken clouds
266,Labuhan,ID,-6.8844,112.2051,78.12,85,99,4.18,overcast clouds
267,Cidreira,BR,-30.1811,-50.2056,74.77,71,2,16.67,clear sky
268,Lagoa,PT,39.05,-27.9833,59.41,72,90,21.32,overcast clouds
269,Bandundu,CD,-3.3167,17.3667,76.21,76,100,2.66,overcast clouds
270,Taksimo,RU,56.3444,114.8794,-20.87,90,96,2.84,overcast clouds
271,Puerto Penasco,MX,31.3167,-113.5333,60.91,70,30,15.01,scattered clouds
272,Bonfim,BR,3.0833,-59.95,93.51,38,99,10.02,overcast clouds
273,Hefei,CN,31.8639,117.2808,28.42,74,0,2.24,clear sky
274,Lomas De Sargentillo,EC,-1.8833,-80.0833,86.58,51,97,3.38,overcast clouds
275,Shingu,JP,33.7333,135.9833,47.79,74,14,16.2,few clouds
276,Korgen,NO,66.0771,13.8153,35.31,96,100,7.16,light snow
277,Ketchikan,US,55.3422,-131.6461,30.18,74,90,10.36,snow
278,Suoyarvi,RU,62.0833,32.35,20.71,94,100,7.78,overcast clouds
279,Hukuntsi,BW,-24.0,21.75,81.81,14,0,8.28,clear sky
280,Dikson,RU,73.5069,80.5464,-7.64,94,100,7.09,overcast clouds
281,Jumla,NP,29.2747,82.1838,32.56,98,100,2.28,snow
282,Stafford,GB,52.8052,-2.1164,54.16,82,82,15.77,broken clouds
283,Teya,RU,60.3778,92.6267,12.29,97,100,2.86,light snow
284,Bubaque,GW,11.2833,-15.8333,79.99,66,0,10.94,clear sky
285,Baruun-Urt,MN,46.6806,113.2792,-2.63,87,8,6.58,clear sky
286,Port Said,EG,31.2565,32.2841,60.78,72,0,4.61,clear sky
287,Port Hardy,CA,50.6996,-127.4199,30.2,80,90,2.3,overcast clouds
288,Mayumba,GA,-3.432,10.6554,76.24,89,79,5.14,broken clouds
289,Mount Isa,AU,-20.7333,139.5,78.57,57,59,8.05,broken clouds
290,Matagami,CA,49.7502,-77.6328,8.71,66,1,6.91,clear sky
291,Emerald,AU,-23.5333,148.1667,69.94,78,100,9.22,overcast clouds
292,Kruisfontein,ZA,-34.0033,24.7314,63.88,82,0,4.45,clear sky
293,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,1.99,78,0,11.18,clear sky
294,Port Elizabeth,ZA,-33.918,25.5701,66.09,72,0,8.05,clear sky
295,Mizdah,LY,31.4451,12.9801,55.44,52,0,9.57,clear sky
296,Noumea,NC,-22.2763,166.4572,80.01,99,100,3.36,overcast clouds
297,Wajima,JP,37.4,136.9,48.18,70,96,28.57,light rain
298,Vestmannaeyjar,IS,63.4427,-20.2734,34.05,62,100,13.96,overcast clouds
299,Bom Jesus,BR,-9.0744,-44.3586,78.98,87,89,2.66,overcast clouds
300,Half Moon Bay,US,37.4636,-122.4286,53.46,92,90,4.61,moderate rain
301,Castro Verde,PT,37.6983,-8.0858,54.82,85,0,3.47,clear sky
302,San Luis,AR,-33.295,-66.3356,94.55,19,0,17.67,clear sky
303,Taoudenni,ML,22.6783,-3.9836,71.94,25,59,11.45,broken clouds
304,Morena,IN,26.4969,78.0,53.91,76,3,3.83,clear sky
305,Sorgun,TR,39.8101,35.186,32.79,69,93,3.22,overcast clouds
306,Khatanga,RU,71.9667,102.5,-25.02,98,8,3.4,clear sky
307,Coquimbo,CL,-29.9533,-71.3436,73.13,53,0,13.8,clear sky
308,Trelew,AR,-43.249,-65.3051,102.18,5,47,18.43,scattered clouds
309,Torbay,CA,47.6666,-52.7314,35.76,93,90,1.99,light intensity drizzle
310,Poum,NC,-20.2333,164.0167,80.29,82,98,16.64,overcast clouds
311,Ciechocinek,PL,52.8791,18.7951,32.76,97,100,5.88,overcast clouds
312,Summerville,US,33.0185,-80.1757,80.11,63,20,3.0,few clouds
313,Leningradskiy,RU,69.3833,178.4167,-23.17,97,100,2.42,overcast clouds
314,Tessalit,ML,20.1986,1.0114,69.89,19,78,9.37,broken clouds
315,Vaitape,PF,-16.5167,-151.75,81.07,76,100,15.99,light rain
316,Kununurra,AU,-15.7667,128.7333,80.58,78,99,0.0,overcast clouds
317,Burlatskoye,RU,45.0564,43.635,38.88,89,99,6.69,overcast clouds
318,Sept-Iles,CA,50.2001,-66.3821,30.72,80,75,2.3,broken clouds
319,Sinnamary,GF,5.3833,-52.95,78.48,89,95,13.15,light rain
320,Khandyga,RU,62.6667,135.6,-44.95,96,100,1.52,overcast clouds
321,San Jeronimo,PE,-11.9472,-75.2829,57.58,66,100,4.12,overcast clouds
322,San Matias,BO,-16.3667,-58.4,89.13,62,97,2.66,overcast clouds
323,Mapimi,MX,25.8167,-103.85,73.17,31,100,5.48,overcast clouds
324,Srandakan,ID,-7.9386,110.2506,60.73,87,100,5.03,light rain
325,Katsuura,JP,35.1333,140.3,39.31,62,6,22.46,clear sky
